Fri Jan 15 02:12:45 2021 Fold 1, Epoch 2, lr: 0.0002000, train loss: 0.95294, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 02:14:12 2021 Fold 1, Epoch 3, lr: 0.0001998, train loss: 0.87516, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 02:15:38 2021 Fold 1, Epoch 4, lr: 0.0001992, train loss: 0.82618, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 02:17:05 2021 Fold 1, Epoch 5, lr: 0.0001982, train loss: 0.76575, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 02:18:32 2021 Fold 1, Epoch 6, lr: 0.0001967, train loss: 0.65930, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 02:19:58 2021 Fold 1, Epoch 7, lr: 0.0001949, train loss: 0.64539, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 02:21:25 2021 Fold 1, Epoch 8, lr: 0.0001927, train loss: 0.54325, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 02:22:52 2021 Fold 1, Epoch 9, lr: 0.0001901, train loss: 0.51817, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 02:24:19 2021 Fold 1, Epoch 10, lr: 0.0001871, train loss: 0.36702, valid loss: 0.29762, Acc: 99.6970, AUC: 0.003030.
Fri Jan 15 02:25:45 2021 Fold 1, Epoch 11, lr: 0.0001838, train loss: 0.14699, valid loss: 3.45238, Acc: 96.6667, AUC: 0.033333.
Fri Jan 15 02:27:12 2021 Fold 1, Epoch 12, lr: 0.0001801, train loss: 0.20434, valid loss: 0.00000, Acc: 100.0000, AUC: 0.000000.
Fri Jan 15 02:28:39 2021 Fold 1, Epoch 13, lr: 0.0001761, train loss: 0.12570, valid loss: 4.22619, Acc: 96.0606, AUC: 0.039394.
Fri Jan 15 02:30:06 2021 Fold 1, Epoch 14, lr: 0.0001718, train loss: 0.09192, valid loss: 1.84524, Acc: 98.4848, AUC: 0.015152.
Fri Jan 15 02:31:32 2021 Fold 1, Epoch 15, lr: 0.0001672, train loss: 0.04835, valid loss: 6.72619, Acc: 93.3333, AUC: 0.066667.
Fri Jan 15 02:32:59 2021 Fold 1, Epoch 16, lr: 0.0001623, train loss: 0.05275, valid loss: 3.57143, Acc: 96.3636, AUC: 0.036364.
Fri Jan 15 02:34:26 2021 Fold 1, Epoch 17, lr: 0.0001572, train loss: 0.08886, valid loss: 2.14286, Acc: 98.1818, AUC: 0.018182.
Fri Jan 15 02:35:52 2021 Fold 1, Epoch 18, lr: 0.0001518, train loss: 0.06034, valid loss: 6.48810, Acc: 93.9394, AUC: 0.060606.
Fri Jan 15 02:37:19 2021 Fold 1, Epoch 19, lr: 0.0001463, train loss: 0.08128, valid loss: 4.64286, Acc: 95.4545, AUC: 0.045455.
Fri Jan 15 02:38:45 2021 Fold 1, Epoch 20, lr: 0.0001405, train loss: 0.05359, valid loss: 6.13095, Acc: 93.9394, AUC: 0.060606.
Fri Jan 15 02:40:12 2021 Fold 1, Epoch 21, lr: 0.0001345, train loss: 0.03940, valid loss: 6.60714, Acc: 93.6364, AUC: 0.063636.
Fri Jan 15 02:41:39 2021 Fold 1, Epoch 22, lr: 0.0001285, train loss: 0.02283, valid loss: 5.71429, Acc: 94.5455, AUC: 0.054545.
Fri Jan 15 02:43:06 2021 Fold 1, Epoch 23, lr: 0.0001223, train loss: 0.04368, valid loss: 5.83333, Acc: 94.2424, AUC: 0.057576.
Fri Jan 15 02:44:32 2021 Fold 1, Epoch 24, lr: 0.0001160, train loss: 0.03132, valid loss: 1.66667, Acc: 98.4848, AUC: 0.015152.
Fri Jan 15 02:45:59 2021 Fold 1, Epoch 25, lr: 0.0001096, train loss: 0.01467, valid loss: 5.11905, Acc: 95.1515, AUC: 0.048485.
Fri Jan 15 02:47:26 2021 Fold 1, Epoch 26, lr: 0.0001032, train loss: 0.01956, valid loss: 4.40476, Acc: 96.0606, AUC: 0.039394.
Fri Jan 15 02:48:52 2021 Fold 1, Epoch 27, lr: 0.0000968, train loss: 0.02378, valid loss: 5.95238, Acc: 93.9394, AUC: 0.060606.
Fri Jan 15 02:50:19 2021 Fold 1, Epoch 28, lr: 0.0000904, train loss: 0.01131, valid loss: 6.01190, Acc: 94.2424, AUC: 0.057576.
Fri Jan 15 02:51:46 2021 Fold 1, Epoch 29, lr: 0.0000840, train loss: 0.01407, valid loss: 2.38095, Acc: 97.5758, AUC: 0.024242.
Fri Jan 15 02:53:12 2021 Fold 1, Epoch 30, lr: 0.0000777, train loss: 0.01233, valid loss: 2.97619, Acc: 96.9697, AUC: 0.030303.
Fri Jan 15 02:54:39 2021 Fold 1, Epoch 31, lr: 0.0000715, train loss: 0.02400, valid loss: 2.08333, Acc: 97.8788, AUC: 0.021212.
Fri Jan 15 02:56:06 2021 Fold 1, Epoch 32, lr: 0.0000655, train loss: 0.01075, valid loss: 2.08333, Acc: 97.8788, AUC: 0.021212.
Fri Jan 15 02:57:32 2021 Fold 1, Epoch 33, lr: 0.0000595, train loss: 0.01469, valid loss: 2.55952, Acc: 97.5758, AUC: 0.024242.
Fri Jan 15 02:58:59 2021 Fold 1, Epoch 34, lr: 0.0000537, train loss: 0.01296, valid loss: 0.89286, Acc: 99.0909, AUC: 0.009091.
Fri Jan 15 03:00:26 2021 Fold 1, Epoch 35, lr: 0.0000482, train loss: 0.01374, valid loss: 5.41667, Acc: 94.8485, AUC: 0.051515.
Fri Jan 15 03:01:52 2021 Fold 1, Epoch 36, lr: 0.0000428, train loss: 0.01493, valid loss: 2.44048, Acc: 97.8788, AUC: 0.021212.
Fri Jan 15 03:03:19 2021 Fold 1, Epoch 37, lr: 0.0000377, train loss: 0.00765, valid loss: 0.89286, Acc: 99.0909, AUC: 0.009091.
Fri Jan 15 03:04:46 2021 Fold 1, Epoch 38, lr: 0.0000328, train loss: 0.02023, valid loss: 3.15476, Acc: 96.9697, AUC: 0.030303.
Fri Jan 15 03:06:13 2021 Fold 1, Epoch 39, lr: 0.0000282, train loss: 0.01595, valid loss: 5.23810, Acc: 94.8485, AUC: 0.051515.
Fri Jan 15 03:07:39 2021 Fold 1, Epoch 40, lr: 0.0000239, train loss: 0.00525, valid loss: 3.33333, Acc: 96.9697, AUC: 0.030303.
